date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-06-27,0.006950957135764329,0.05548847601495291,0.03135048231511254,0.31885752759616576,0.0,0.0,0.0,0.0
2020-06-28,0.005654548463617808,0.05558241282892777,0.03376205787781351,0.31922961073016887,0.0,0.0,0.0,0.0
2020-06-29,0.009198984939592873,0.055735231987272246,0.027331189710610933,0.3195308208862666,0.0,0.0,0.0,0.0
2020-06-30,0.007902576267446351,0.05586651441265664,0.03456591639871383,0.31991176314250785,0.0,0.0,0.0,0.0
2020-07-01,0.008481822695426711,0.05600741963361893,0.017684887459807074,0.3201066638317476,0.0,0.0,0.0,0.0
2020-07-02,0.0077922436144977104,0.0561368691455599,0.03215434083601286,0.3204610287212743,0.0,0.0,0.0,0.0
2020-07-03,0.00747503723727037,0.05626104903135107,0.02090032154340836,0.3206913658994667,0.0,0.0,0.0,0.0
2020-07-04,0.005323550504771887,0.056349487104995696,0.02491961414790997,0.3209659986888499,0.0,0.0,0.0,0.0
2020-07-05,0.00746124565565179,0.056473437876606435,0.01929260450160772,0.32117861762256594,0.0,0.0,0.0,0.0
2020-07-06,0.009047277541788492,0.05662373677896622,0.02652733118971061,0.32147096865642555,0.0,0.0,0.0,0.0
2020-07-07,0.007709494124786231,0.05675181160582463,0.02090032154340836,0.3217013058346179,0.0,0.0,0.0,0.0
2020-07-08,0.009267942847685772,0.05690577633507124,0.018488745980707395,0.3219050656460958,0.0,0.0,0.0,0.0
2020-07-09,0.009419650245490152,0.05706226132030254,0.028135048231511254,0.3222151349244317,0.0,0.0,0.0,0.0
2020-07-10,0.00717162244166161,0.05718140069412432,0.016881028938906754,0.32240117649143324,0.0,0.0,0.0,0.0
2020-07-11,0.0057786726981850275,0.05727739953572303,0.01607717041800643,0.3225783589361966,0.0,0.0,0.0,0.0
2020-07-12,0.004868428311358746,0.05735827684141358,0.00964630225080386,0.32268466840305465,0.0,0.0,0.0,0.0
2020-07-13,0.009529982898438793,0.057516594740088293,0.017684887459807074,0.3228795690922943,0.0,0.0,0.0,0.0
2020-07-14,0.008964528052077012,0.05766551895736552,0.01607717041800643,0.3230567515370577,0.0,0.0,0.0,0.0
2020-07-15,0.009985105091851933,0.0578313976239943,0.01607717041800643,0.3232339339818211,0.0,0.0,0.0,0.0
2020-07-16,0.008854195399128371,0.057978488927828115,0.00964630225080386,0.3233402434486791,0.0,0.0,0.0,0.0
2020-07-17,0.00755778672698185,0.05810404349870184,0.014469453376205787,0.32349970764896613,0.0,0.0,0.0,0.0
2020-07-18,0.006440668615876869,0.058211039820961014,0.011254019292604502,0.3236237353603005,0.0,0.0,0.0,0.0
2020-07-19,0.005695923208473548,0.05830566397747716,0.011254019292604502,0.3237477630716349,0.0,0.0,0.0,0.0
2020-07-20,0.010385060958790755,0.05847818695533832,0.00964630225080386,0.3238540725384929,0.0,0.0,0.0,0.0
2020-07-21,0.009502399735201632,0.05863604662565217,0.01527331189710611,0.3240223958610181,0.0,0.0,0.0,0.0
2020-07-22,0.010288519887460695,0.05880696580425034,0.012861736334405145,0.3241641418168288,0.0,0.0,0.0,0.0
2020-07-23,0.010067854581563413,0.05897421915596169,0.012861736334405145,0.32430588777263947,0.0,0.0,0.0,0.0
2020-07-24,0.009902355602140454,0.05913872313750792,0.00482315112540193,0.3243590425060685,0.0,0.0,0.0,0.0
2020-07-25,0.0067992497379599495,0.05925167642845818,0.01045016077170418,0.32447421109516467,0.0,0.0,0.0,0.0
2020-07-26,0.00710266453356871,0.059369670231377826,0.011254019292604502,0.3245982388064991,0.0,0.0,0.0,0.0
2020-07-27,0.011129806366194076,0.059554565374982014,0.008038585209003215,0.3246868300288807,0.0,0.0,0.0,0.0
2020-07-28,0.010743642080873835,0.059733045321534256,0.008038585209003215,0.3247754212512624,0.0,0.0,0.0,0.0
2020-07-29,0.013405417333259778,0.05995574430490882,0.006430868167202572,0.3248462942291678,0.0,0.0,0.0,0.0
2020-07-30,0.011833177028741657,0.060152324271714755,0.006430868167202572,0.32491716720707314,0.0,0.0,0.0,0.0
2020-07-31,0.008633530093231092,0.060295749748661746,0.008038585209003215,0.3250057584294548,0.0,0.0,0.0,0.0
2020-08-01,0.006813041319578529,0.060408932153792436,0.007234726688102894,0.32508549052959834,0.0,0.0,0.0,0.0
2020-08-02,0.007061289788712969,0.0605262386141708,0.006430868167202572,0.32515636350750365,0.0,0.0,0.0,0.0
2020-08-03,0.012936503558228058,0.06074114771541086,0.011254019292604502,0.32528039121883806,0.0,0.0,0.0,0.0
